,withoutThreshold,withThreshold,thresholdValue
0,50,84779,150
1,116325,23984,150
2,4290,134465,150
3,39884,65948,150
4,9468,44324,150
5,54,43991,150
6,40622,1640,150
7,53208,149128,150
8,3929,28221,150
9,24276,79113,150
10,1133,56477,175
11,42948,15839,175
12,1047,19379,175
13,51796,43235,175
14,75193,11494,175
15,831,65334,175
16,894,22992,175
17,26996,59372,175
18,4544,63866,175
19,1398,95324,175
20,790,80456,200
21,5296,52711,200
22,628,34462,200
23,10194,39037,200
24,14269,44016,200
25,206,3510,200
26,1580,25781,200
27,6322,8635,200
28,2576,119121,200
29,46284,20610,200
30,346,85442,225
31,44512,81802,225
32,41955,74688,225
33,7750,19813,225
34,2003,30247,225
35,7835,85442,225
36,318,56213,225
37,3951,85442,225
38,1730,55831,225
39,30,85442,225
40,15843,211657,250
41,16755,116986,250
42,2204,113337,250
43,1941,122698,250
44,32212,116986,250
45,29529,128386,250
46,32144,116986,250
47,55634,116986,250
48,71834,120973,250
49,41639,87243,250
50,543,108215,275
51,1152,118918,275
52,14353,67804,275
53,107024,63993,275
54,92977,67804,275
55,4382,77985,275
56,3956,77985,275
57,359,77985,275
58,77669,77985,275
59,12945,77985,275
60,21076,158240,300
61,1840,158240,300
62,115906,158240,300
63,41,220544,300
64,19082,158240,300
65,15288,158240,300
66,109,185264,300
67,23392,158240,300
68,20393,158240,300
69,126627,158240,300
