,withoutThreshold,withThreshold,thresholdValue
0,12003,122329,100
1,165562,34947,100
2,39223,202976,100
3,80744,6716,100
4,143610,260586,100
5,32200,21399,100
6,15375,189792,100
7,118978,110617,100
8,107285,130285,100
9,102228,151394,100
10,3626,38131,100
11,31290,213010,100
12,194737,353573,100
13,13817,60318,100
14,19389,329910,100
15,14837,1575,100
16,62261,6677,100
17,2429,24854,100
18,137,92145,100
19,316038,180103,100
20,36889,49006,100
21,10426,19063,100
22,63281,122972,100
23,27891,14847,100
24,23909,508950,100
25,103700,61699,100
26,65598,129924,100
27,3325,112470,100
28,40504,85197,100
29,111712,458285,100
30,126554,21436,100
31,152171,38852,100
32,3771,108953,100
33,98386,211453,100
34,13233,234180,100
35,63606,183378,100
36,67845,78315,100
37,26936,105105,100
38,357308,192556,100
39,85818,100671,100
40,26028,49091,100
41,202582,121688,100
42,26102,3776,100
43,9700,175053,100
44,75544,319734,100
45,206926,91177,100
46,22996,9618,100
47,408,144883,100
48,45715,117331,100
49,45186,82011,100
50,126,94465,125
51,102078,491774,125
52,209710,227323,125
53,39580,175366,125
54,11377,187198,125
55,46716,423432,125
56,74400,320905,125
57,17472,162281,125
58,159656,66142,125
59,238593,171672,125
60,120840,291326,125
61,27555,424461,125
62,18979,136708,125
63,121541,289213,125
64,111130,218666,125
65,1641,357564,125
66,11447,332192,125
67,13420,56416,125
68,76709,332706,125
69,71579,134535,125
70,128949,165651,125
71,160066,282470,125
72,19513,369793,125
73,57956,166065,125
74,85824,263646,125
75,113079,213460,125
76,36720,263646,125
77,263849,299379,125
78,10751,285517,125
79,107625,343267,125
80,83291,264916,125
81,205708,154827,125
82,4773,335835,125
83,79075,69779,125
84,25613,461379,125
85,110744,122179,125
86,35645,64455,125
87,521,197819,125
88,158869,190345,125
89,254855,321629,125
90,248506,341261,125
91,217264,277233,125
92,72025,142934,125
93,164558,238992,125
94,152574,333338,125
95,13948,260897,125
96,14604,150210,125
97,77121,195819,125
98,90023,52224,125
99,174848,235059,125
100,246132,32038,150
101,185890,21147,150
102,210530,30990,150
103,2020,18097,150
104,200936,178493,150
105,166218,52222,150
106,90760,41497,150
107,18342,5146,150
108,106702,25991,150
109,20564,52222,150
110,36777,93955,150
111,1941,85554,150
112,3884,72551,150
113,42026,52222,150
114,54444,30414,150
115,50695,12131,150
116,9511,21441,150
117,139430,64214,150
118,50798,84075,150
119,44436,12891,150
120,98374,91603,150
121,22137,28640,150
122,8516,7601,150
123,46681,55397,150
124,36645,52222,150
125,33190,22561,150
126,77525,10864,150
127,197726,4966,150
128,52454,52222,150
129,45325,52222,150
130,274598,23412,150
131,144756,184668,150
132,47694,52222,150
133,453597,89702,150
134,176909,103751,150
135,15147,53585,150
136,165678,17177,150
