,withoutThreshold,withThreshold,thresholdValue
0,56644,182005,100
1,153555,10698,100
2,47552,46856,100
3,42413,23556,100
4,6702,59828,100
5,19242,203800,100
6,128826,6942,100
7,40050,17446,100
8,15810,152205,100
9,524,88564,100
10,69550,134859,100
11,24114,37083,100
12,40088,77470,100
13,53890,102514,100
14,56533,20382,100
15,61767,10441,100
16,33140,18442,100
17,2533,28955,100
18,18273,38925,100
19,121556,81959,100
20,51932,33484,100
21,656,64201,100
22,14446,10256,100
23,50266,45325,100
24,32439,36913,100
25,67938,79210,100
26,22563,195907,100
27,2168,96002,100
28,82148,9710,100
29,30879,7642,100
30,30897,171747,100
31,2709,100847,100
32,21315,90803,100
33,55588,174400,100
34,30006,121431,100
35,90465,8052,100
36,12036,92547,100
37,31815,69610,100
38,44617,110131,100
39,138122,110346,100
40,17622,49572,100
41,9589,60825,100
42,88702,1172,100
43,48453,3506,100
44,65566,15170,100
45,34030,10,100
46,119394,61958,100
47,15316,114620,100
48,30677,21748,100
49,39495,104624,100
50,1924,111241,110
51,111999,1094,110
52,25673,26752,110
53,74963,39137,110
54,112796,108322,110
55,60712,91569,110
56,101392,134180,110
57,4511,49564,110
58,82292,35246,110
59,9161,77930,110
60,60642,128739,110
61,133252,26675,110
62,199955,151389,110
63,32608,50559,110
64,29371,95412,110
65,20210,112549,110
66,18497,79899,110
67,56017,55851,110
68,10306,73288,110
69,108663,159932,110
70,18485,80815,110
71,10128,2137,110
72,46669,128242,110
73,117632,18846,110
74,110857,10114,110
75,111753,11013,110
76,15762,109246,110
77,78880,17438,110
78,13141,1795,110
79,75642,45212,110
80,28858,79241,110
81,43069,3899,110
82,108776,10730,110
83,77596,494,110
84,54005,87542,110
85,15321,232268,110
86,99557,118779,110
87,88205,15112,110
88,31395,140202,110
89,44678,128930,110
90,45949,56516,110
91,9839,20639,110
92,54697,1238,110
93,10752,77994,110
94,69307,14303,110
95,36425,120703,110
96,98441,168427,110
97,99067,98163,110
98,20163,95847,110
99,679,43166,110
100,17053,84622,120
101,66835,100170,120
102,6030,13738,120
103,9998,22528,120
104,17106,26761,120
105,62445,148259,120
106,76724,54686,120
107,9655,48336,120
108,93742,154337,120
109,103814,165847,120
110,100907,69023,120
111,173357,102650,120
112,17306,88569,120
113,4804,172808,120
114,6601,18747,120
115,1150,35979,120
116,17055,123098,120
117,176346,21498,120
118,45653,113450,120
119,100145,21150,120
120,33456,108547,120
121,110661,73097,120
122,5313,78081,120
123,49494,37681,120
124,6203,54398,120
125,9671,236327,120
126,1144,139721,120
127,43504,32521,120
128,9855,111760,120
129,94196,28757,120
130,10251,43028,120
131,86419,57602,120
132,24568,34799,120
133,1018,20661,120
134,6224,41938,120
135,87649,78329,120
136,90574,137223,120
137,109743,65481,120
138,74225,14098,120
139,5362,57068,120
140,1260,15340,120
141,6790,31023,120
142,43161,98270,120
143,2216,59913,120
144,99257,98772,120
145,42809,68464,120
146,3625,186826,120
147,993,23410,120
148,62168,51399,120
149,66397,60396,120
150,173497,37076,130
151,59612,57031,130
152,29107,77635,130
153,48612,51045,130
154,127710,20401,130
155,32394,61713,130
