,withoutThreshold,withThreshold,thresholdValue
0,8422,1249,125
1,2208,21499,125
2,49170,26574,125
3,6200,24751,125
4,6809,55137,125
5,722,27833,125
6,35178,107837,125
7,8891,47157,125
8,109,30083,125
9,2475,2851,125
10,96591,17778,125
11,73330,5320,125
12,1032,6537,125
13,895,101953,125
14,7550,39831,125
15,36754,71379,125
16,125590,34500,125
17,961,5949,125
18,96568,29,125
19,36722,61979,125
20,673,72407,125
21,22192,1393,125
22,31852,8555,125
23,62201,22018,125
24,17902,39319,125
25,23542,3508,125
26,17495,1373,125
27,72430,247,125
28,95,50567,125
29,6905,12062,125
30,45246,469,125
31,107,64181,125
32,43205,75597,125
33,49725,1735,125
34,1485,826,125
35,37199,16418,125
36,21726,20579,125
37,79,18703,125
38,1142,39064,125
39,31739,122928,125
40,17392,16609,125
41,26599,5190,125
42,7330,15139,125
43,7530,1474,125
44,3043,11433,125
45,7554,32459,125
46,1589,7144,125
47,38325,84226,125
48,7279,14074,125
49,85349,26670,125
