,digraph,inter-key,uut,ddt
0,la,20.032,110.1584,130.1888
1,ab,150.2208,280.4032,240.3456
2,bo,-30.0416,50.072,100.1472
3,or,120.1664,220.3168,200.2816
4,ra,-30.0416,110.1584,70.1056
5,at,20.032,130.1872,160.2304
6,to,-50.0736,60.0864,60.0832
7,oi,-40.0512,60.0864,70.1056
8,ir,-30.0416,100.144,70.0928
9,re,-70.0928,70.1008,60.096
10,eg,270.3872,380.5472,410.5856
11,gr,120.1792,210.3024,230.336
12,re,-20.032,100.144,70.0928
13,ey,0.0,60.0864,120.1792
14,yc,100.1472,210.3024,160.2304
16,la,30.0416,150.216,130.1888
17,ab,120.1792,250.36,240.3456
18,bo,20.032,100.144,150.2208
19,or,50.0736,150.216,130.176
20,ra,-20.032,100.144,80.1152
21,at,30.0416,130.1872,150.2208
22,to,-40.064,130.1872,60.0832
23,oi,-90.1376,0.0,80.1152
24,ir,0.0,80.1152,90.1376
25,re,-80.1152,40.0576,0.0
26,eg,90.1376,180.2592,210.304
27,gr,100.1472,160.2304,190.272
28,re,-30.0416,100.144,30.0416
29,ey,0.0,60.0864,130.1888
30,yc,40.0512,140.2016,100.1344
32,la,0.0,100.144,100.1472
33,ab,140.1984,280.4032,240.3456
34,bo,0.0,70.1008,140.1984
35,or,100.1472,200.288,170.2528
36,ra,-20.0192,140.2016,80.1152
37,at,0.0,100.144,160.2304
38,to,-30.0416,110.1584,70.0928
39,oi,-60.096,30.0432,80.1152
40,ir,-30.0416,70.1008,60.096
41,re,-100.1344,50.072,0.0
42,eg,90.1248,170.2448,240.3328
43,gr,100.1344,190.2736,180.2624
44,re,-40.064,110.1584,50.0736
45,ey,0.0,70.1008,150.2208
46,yc,60.096,180.2592,130.1888
48,la,0.0,80.1152,90.1376
49,ab,150.2208,260.3744,230.3232
50,bo,60.0832,120.1728,170.24
51,or,130.1888,240.3456,190.2848
52,ra,70.0928,190.2736,180.2496
53,at,120.1664,270.3888,240.3456
55,oi,-20.032,60.0864,90.1248
56,ir,60.0832,210.3024,140.1984
57,re,-70.0928,70.1008,80.128
58,eg,130.1888,220.3168,270.3872
59,gr,90.1248,220.3168,180.2496
60,re,-70.0928,60.0864,60.096
61,ey,0.0,70.1008,130.1888
62,yc,30.0416,150.216,100.1344
64,la,-30.0416,100.144,80.1152
65,ab,120.1664,250.36,250.3552
66,bo,0.0,60.0864,130.1888
67,or,120.1664,230.3312,180.2624
68,ra,0.0,120.1728,110.1568
69,at,0.0,140.2016,120.1792
70,to,0.0,100.144,140.1984
71,oi,-40.064,50.072,60.0832
72,ir,0.0,170.2448,90.1376
73,re,-130.1888,40.0576,40.0512
74,eg,170.24,280.4032,340.4928
75,gr,90.1248,180.2592,200.2816
76,re,-40.064,90.1296,50.0736
77,ey,20.032,90.1296,150.2208
78,yc,50.0608,160.2304,120.1664
80,gr,120.1792,220.3168,220.3264
81,re,-40.0512,90.1296,60.0832
82,ey,-20.032,50.072,110.1568
83,yc,90.1248,250.36,160.2304
84,cl,150.2208,250.36,310.4512
85,la,0.0,100.144,100.1344
86,ab,160.2304,260.3744,260.3776
