,digraph,inter-key,uut,ddt
0,ok,96,216,168
1,k2,1000,1072,1120
2,2n,160,248,232
3,nd,16,96,104
4,dt,120,208,200
5,ti,1,120,89
6,im,-56,24,63
7,me,-23,48,57
8,et,104,176,175
9,th,-32,56,40
10,hi,-32,72,56
11,is,0,56,104
12,sw,128,176,184
13,we,112,152,160
14,ek,128,200,168
15,ek,0,72,48
16,kw,304,360,376
17,wh,64,144,120
18,ha,24,88,104
19,at,0,56,64
20,ta,64,168,120
21,ag,104,160,208
22,gr,96,192,152
23,re,-56,64,40
24,ea,0,72,120
25,at,0,80,72
26,tu,152,248,232
27,ue,56,152,152
28,es,-95,0,1
29,so,120,200,215
30,of,-16,72,64
31,ft,88,160,176
32,tm,472,568,544
33,my,136,224,232
34,yt,170,240,258
35,ti,32,120,102
36,im,0,80,88
37,me,49,128,129
38,ei,336,424,415
39,iw,160,241,248
40,wa,0,119,81
41,as,-24,56,95
42,sn,-16,81,64
43,nt,87,159,184
44,te,112,184,184
45,ev,80,136,152
46,ve,48,184,104
47,en,160,280,296
48,ng,216,288,336
49,go,-24,120,48
50,oi,-64,104,80
51,in,-128,0,40
52,ng,0,88,128
53,gt,232,328,320
54,to,-32,56,64
55,oc,192,280,280
56,co,-24,80,64
57,om,-56,56,48
58,me,40,112,152
59,ei,72,184,144
60,in,-40,56,72
61,nt,120,200,216
62,to,0,88,80
63,od,24,112,112
64,da,0,72,88
65,ay,24,96,96
66,y1,1096,1216,1168
67,1o,208,312,328
68,oh,8,88,112
69,ha,152,168,232
70,aw,288,312,304
71,we,472,568,496
72,we,-80,16,32
73,el,48,112,144
74,lh,504,592,568
75,lh,376,464,432
76,he,104,176,192
77,er,40,160,112
78,re,-56,16,64
79,ew,248,336,320
80,we,120,200,208
81,ea,112,192,192
82,ar,48,192,128
83,re,-56,55,88
84,eo,625,720,736
85,oh,73,160,168
86,hl,176,257,263
87,lo,128,167,209
88,ok,146,249,185
89,ok,-31,72,73
90,ks,224,288,327
91,so,32,153,96
92,om,-33,88,88
93,me,-88,0,33
94,et,183,295,271
95,te,-32,96,80
96,ex,144,240,272
97,xt,16,136,112
98,to,73,176,193
99,on,-56,40,47
100,nt,56,148,152
101,th,0,100,92
102,he,-32,32,68
103,eb,152,225,216
104,ba,32,127,105
105,ac,40,112,135
106,ck,32,112,104
107,kg,32,128,112
108,go,104,200,200
109,or,-94,1,2
110,ru,0,79,95
111,un,112,216,191
112,nr,1160,1256,1264
113,ro,40,168,136
114,ou,-48,24,80
115,un,104,176,176
116,nd,8,80,80
117,dm,88,184,160
118,ma,25,104,121
119,ay,24,120,103
120,yb,40,112,136
121,be,72,152,144
122,ei,120,200,200
123,il,304,360,384
124,lt,256,368,312
125,lt,87,199,184
126,ty,-32,136,80
127,yp,-48,72,120
128,pe,48,152,168
129,et,320,424,424
130,th,0,90,104
131,ha,6,86,96
132,at,-32,88,48
133,tl,576,648,696
134,le,112,184,184
135,en,0,72,72
136,no,152,240,224
137,oh,168,264,256
138,ha,0,96,96
139,as,1,56,97
140,sh,264,368,319
141,ho,-24,80,80
142,os,-24,64,80
143,st,0,112,88
144,te,-16,56,96
145,ed,56,152,128
146,dt,104,208,200
147,th,-48,56,56
148,he,40,120,144
149,es,96,160,176
150,sh,0,128,64
151,ho,-48,24,80
152,ow,200,264,272
153,ws,184,288,248
154,si,24,152,128
155,in,-64,24,64
156,nc,-24,88,64
157,ce,-64,64,48
158,e1,288,368,416
159,19,88,136,168
160,92,248,352,296
161,92,88,192,168
162,2w,1320,1392,1424
163,wi,40,128,112
164,it,40,137,128
165,th,-25,55,72
166,ho,104,200,184
167,on,0,104,96
168,nl,0,176,104
169,ly,16,128,192
170,ya,560,640,672
171,ab,368,447,448
172,br,105,178,184
173,ri,31,151,104
174,ie,-16,80,104
175,ef,24,144,120
176,fi,112,216,232
177,in,-32,48,72
178,nt,0,104,80
179,te,48,144,152
180,er,80,127,176
181,ru,129,248,176
182,ru,-16,103,72
183,up,-39,72,80
184,pt,25,136,136
185,ti,-24,129,87
186,io,-65,40,88
187,on,-56,72,49
188,nw,200,264,328
189,wh,24,96,88
190,he,17,120,89
191,en,32,129,135
192,nc,303,391,400
193,co,40,136,128
194,on,-31,64,65
195,na,24,112,119
196,an,40,137,128
197,no,336,432,433
198,ob,487,551,583
199,br,136,216,200
200,ri,48,136,128
201,ie,249,320,337
202,en,32,120,103
203,nh,120,216,208
204,ho,-15,104,81
205,os,-24,48,95
206,st,1,128,73
207,te,-32,64,95
208,ed,88,200,184
209,dc,968,1064,1080
210,co,896,984,992
211,co,120,208,216
212,on,-40,72,48
213,nt,0,72,112
214,tg,312,384,384
215,gr,88,160,160
216,ra,-16,88,56
217,at,72,152,176
218,tu,24,96,104
219,ul,88,168,160
220,la,1,56,81
221,at,1,88,56
222,ti,0,144,87
223,io,-88,32,56
224,on,-64,56,56
225,ns,-32,80,88
226,sj,216,320,328
227,ji,120,176,224
228,im,160,224,216
229,my,328,416,392
230,my,184,272,256
231,ys,1432,1552,1520
232,sa,-24,56,96
233,ai,56,152,136
234,id,0,96,96
235,dl,112,184,208
236,le,104,176,176
237,en,248,360,320
238,no,0,96,112
239,oi,1104,1200,1200
240,ih,304,408,400
241,ho,0,128,104
242,op,-16,80,112
243,pe,32,104,128
244,ey,104,201,176
245,yo,63,167,160
246,ou,-32,56,72
247,ur,344,496,432
248,re,-80,24,72
249,ea,64,168,168
250,as,-24,64,80
251,sl,152,264,240
252,lu,0,112,112
253,uc,0,112,112
254,ck,-24,80,88
255,ky,648,752,752
256,ya,144,288,248
257,as,-65,24,79
258,sm,152,232,241
259,me,80,184,160
260,ea,151,247,255
261,an,-16,80,80
262,nd,25,120,121
263,dh,57,152,152
