,withoutThreshold,withThreshold,thresholdValue
0,4116,2646,100
1,4625,10393,100
2,5290,975,100
3,2896,7460,100
4,23494,39562,100
5,8362,4811,100
6,2616,24015,100
7,12506,10831,100
8,25,11663,100
9,50828,731,100
10,650,8178,100
11,2694,12801,100
12,294,35305,100
13,111,901,100
14,2619,3,100
15,3307,33018,100
16,112,3225,100
17,5537,12099,100
18,5637,2917,100
19,11303,1067,100
20,33,68442,100
21,67624,12,100
22,117122,6659,100
23,5185,93027,100
24,18749,2821,100
25,33266,29818,100
26,15,7005,100
27,726,662,100
28,1277,11397,100
29,4658,11270,100
30,5366,18022,100
31,35897,14092,100
32,59559,10539,100
33,26563,2317,100
34,142,5681,100
35,10409,7345,100
36,13732,3028,100
37,33234,10587,100
38,2517,5103,100
39,26445,56818,100
40,99594,1604,100
41,27809,6266,100
42,43612,15994,100
43,3644,4556,100
44,6320,28232,100
45,912,1170,100
46,2817,55556,100
47,63298,858,100
48,3309,64,100
49,3140,29029,100
50,42317,8964,110
51,8169,21077,110
52,67629,12394,110
53,716,55757,110
54,91041,44125,110
55,186,3968,110
56,105905,34869,110
57,7175,6057,110
58,5728,119169,110
59,3531,1539,110
60,405,150,110
61,2114,23230,110
62,77,6707,110
63,5609,2689,110
64,1409,57726,110
65,19869,14907,110
66,94580,11217,110
67,38085,41228,110
68,11955,5601,110
69,22145,36217,110
70,4012,109,110
71,12480,4525,110
72,716,10981,110
73,85840,1654,110
74,1630,46580,110
75,65619,6512,110
76,39663,78792,110
77,782,22271,110
78,3343,61979,110
79,112,25493,110
80,41652,2823,110
81,73178,22245,110
82,7271,48227,110
83,6123,1626,110
84,401,47831,110
85,460,29224,110
86,3113,1339,110
87,1659,1503,110
88,11253,84714,110
89,2960,3389,110
90,2851,19736,110
91,3331,10581,110
92,438,213,110
93,23,18590,110
94,183,23065,110
95,6183,8514,110
96,24466,6895,110
97,794,435,110
98,36342,725,110
99,33417,70,110
100,2250,28539,120
101,1411,49599,120
102,11610,24346,120
103,30513,1077,120
104,484,16540,120
105,519,48115,120
106,5452,139028,120
107,202,3918,120
108,1140,1396,120
109,6374,5331,120
110,101246,10184,120
111,4598,307,120
112,14851,11811,120
113,53,2185,120
114,137148,706,120
115,28720,3533,120
116,125583,132665,120
117,572,4037,120
118,8455,5957,120
119,8471,12178,120
120,18182,3612,120
121,14489,24905,120
122,56150,18600,120
123,99994,8428,120
124,666,596,120
125,125,55463,120
126,971,31104,120
127,2543,981,120
128,2091,220,120
129,35716,7814,120
130,453,11099,120
131,81,18912,120
132,29599,322,120
133,23441,726,120
134,82673,21742,120
135,202,131654,120
136,7888,111104,120
137,348,5363,120
138,28009,3740,120
139,2792,70109,120
140,800,173,120
141,156855,2687,120
142,6436,61381,120
143,114,1655,120
144,21737,10617,120
145,15205,3030,120
146,7315,10500,120
147,11809,37583,120
148,38200,9713,120
149,121209,6423,120
0,8422,1249,125
1,2208,21499,125
2,49170,26574,125
3,6200,24751,125
4,6809,55137,125
5,722,27833,125
6,35178,107837,125
7,8891,47157,125
8,109,30083,125
9,2475,2851,125
10,96591,17778,125
11,73330,5320,125
12,1032,6537,125
13,895,101953,125
14,7550,39831,125
15,36754,71379,125
16,125590,34500,125
17,961,5949,125
18,96568,29,125
19,36722,61979,125
20,673,72407,125
21,22192,1393,125
22,31852,8555,125
23,62201,22018,125
24,17902,39319,125
25,23542,3508,125
26,17495,1373,125
27,72430,247,125
28,95,50567,125
29,6905,12062,125
30,45246,469,125
31,107,64181,125
32,43205,75597,125
33,49725,1735,125
34,1485,826,125
35,37199,16418,125
36,21726,20579,125
37,79,18703,125
38,1142,39064,125
39,31739,122928,125
40,17392,16609,125
41,26599,5190,125
42,7330,15139,125
43,7530,1474,125
44,3043,11433,125
45,7554,32459,125
46,1589,7144,125
47,38325,84226,125
48,7279,14074,125
49,85349,26670,125
150,62139,64521,130
151,9085,1582,130
152,19489,30405,130
153,30604,4783,130
154,7339,16643,130
155,39190,66819,130
156,69993,76185,130
157,8885,61102,130
158,18378,689,130
159,9416,92630,130
160,1836,71713,130
161,418,17196,130
162,47965,32633,130
163,21552,135632,130
164,3098,49240,130
165,1255,43847,130
166,38228,17148,130
167,16033,25111,130
168,16473,42206,130
169,669,57585,130
170,854,13465,130
171,43566,67283,130
172,7136,26373,130
173,175,39387,130
174,8122,17223,130
175,6377,64731,130
176,100,83528,130
177,224,55594,130
178,30498,14377,130
