,digraph,inter-key,uut,ddt
0,ki,83,151,182
1,ik,101,191,169
2,ki,71,147,161
3,i2,538,618,614
4,23,76,166,156
5,au,145,236,235
6,ut,156,237,247
7,tr,85,141,166
8,ru,86,171,142
9,uc,106,196,191
10,ch,36,116,126
11,he,100,201,180
12,ki,88,170,169
13,ik,114,195,196
14,ki,75,157,156
15,i2,462,544,544
16,23,75,156,157
17,au,114,234,234
18,ut,153,234,273
19,tr,84,165,165
20,ru,76,157,157
21,uc,114,195,195
22,ch,76,157,157
23,he,76,157,157
24,ki,114,195,208
25,ik,114,196,195
26,ki,152,234,234
27,i2,462,543,544
28,23,115,196,196
29,au,152,272,236
30,ut,269,312,389
31,tr,114,195,157
32,ru,76,157,157
33,uc,114,163,195
34,ch,76,157,125
35,he,76,157,157
36,ki,101,182,186
37,ik,110,200,191
38,ki,96,177,186
39,i2,357,443,438
40,23,247,347,333
41,au,80,166,186
42,ut,186,262,272
43,tr,80,161,156
44,ru,211,301,292
45,uc,121,207,211
46,ch,115,196,201
47,he,66,166,147
48,ki,90,160,175
49,ik,121,192,191
50,ki,106,176,177
51,i2,403,478,473
52,23,105,191,180
53,au,46,146,151
54,ut,172,242,272
55,tr,25,136,95
56,ru,136,216,247
57,uc,76,171,156
58,ch,121,172,216
59,he,105,201,156
60,ki,80,196,177
61,ik,90,171,206
62,ki,90,176,171
63,i2,452,533,538
64,23,76,176,157
65,au,151,256,261
66,ut,181,267,286
67,tr,126,231,212
68,ru,127,212,232
69,uc,76,181,161
70,ch,126,212,231
71,he,35,155,121
72,ki,91,166,182
73,ik,131,232,206
74,ki,70,156,171
75,i2,367,437,453
76,23,101,207,171
77,au,75,151,181
78,ut,216,291,292
79,tr,91,177,166
80,ru,45,125,131
81,uc,101,187,181
82,ch,35,116,121
83,he,126,223,207
84,ki,110,186,195
85,ik,131,217,207
86,ki,110,191,196
87,i2,368,473,449
88,23,110,211,215
89,au,100,186,206
90,ut,192,282,278
91,tr,91,181,181
92,ru,71,156,161
93,uc,76,171,161
94,ch,41,132,136
95,he,141,236,232
96,ki,111,186,212
97,ik,131,217,206
98,ki,116,190,202
99,i2,398,569,472
100,23,242,353,413
101,au,85,181,191
102,ut,140,246,236
103,tr,96,201,202
104,ru,56,136,161
105,uc,61,181,141
106,ch,11,101,131
107,he,121,232,211
108,ki,111,196,211
109,ik,116,202,201
110,ki,111,166,197
111,i2,427,493,482
112,23,105,191,171
113,au,81,177,196
114,ut,146,242,242
115,tr,91,176,187
116,ru,96,176,181
117,uc,61,156,141
118,ch,86,166,181
119,he,81,177,161
120,ki,121,191,201
121,ik,232,313,302
122,ki,115,196,196
123,i2,639,755,720
124,23,100,191,216
125,au,77,162,172
126,ut,217,307,302
127,tr,91,192,181
128,ru,96,176,197
129,uc,96,195,176
130,ch,67,147,166
131,he,106,192,186
132,ki,105,170,189
133,ik,136,227,201
134,ki,95,176,186
135,i2,332,408,413
136,23,95,186,171
137,au,91,166,197
138,ut,186,283,261
139,tr,73,159,170
140,ru,66,141,152
141,uc,126,206,201
142,ch,61,142,141
143,he,116,206,197
144,ki,106,191,197
145,ik,146,207,231
146,ki,106,207,167
147,i2,283,338,384
148,23,156,252,211
149,au,91,181,206
150,ut,192,288,282
151,tr,80,161,176
152,ru,890,991,971
153,uc,146,236,247
154,ch,56,151,146
155,he,71,161,166
156,ki,96,175,186
157,ik,107,182,186
158,ki,81,161,156
159,i2,433,529,513
160,23,91,181,187
161,au,172,257,277
162,ut,145,211,230
163,tr,599,685,665
164,ru,512,593,598
165,uc,45,136,126
166,ch,85,176,176
167,he,50,146,141
168,ki,111,184,191
169,ik,118,189,191
170,ki,100,166,171
171,i2,403,478,469
172,23,101,180,176
173,au,126,216,237
174,ut,191,261,281
175,tr,116,187,186
176,ru,262,342,333
177,uc,101,186,181
178,ch,51,136,136
179,he,112,202,197
180,ki,106,191,186
181,ik,126,202,211
182,ki,105,186,181
183,i2,332,424,413
184,23,106,206,198
185,au,116,202,201
186,ut,179,261,265
187,tr,85,191,167
188,ru,91,171,197
189,uc,96,187,176
190,ch,45,126,136
191,he,100,201,181
192,ki,105,180,196
193,ik,122,202,197
194,ki,116,186,196
195,i2,368,493,438
196,23,106,217,231
197,au,122,212,223
198,ut,429,519,519
199,tr,116,201,206
200,ru,81,166,166
201,uc,91,191,176
202,ch,46,136,146
203,he,96,212,186
204,ki,75,157,156
205,ik,114,195,196
206,ki,114,195,195
207,i2,501,583,582
208,23,114,195,196
209,au,153,234,236
210,ut,153,234,234
211,tr,114,196,195
212,ru,307,427,389
213,uc,75,157,195
214,ch,75,156,157
215,he,115,196,196
216,ki,94,165,183
217,ik,126,226,197
218,ki,70,151,170
219,i2,317,388,398
220,23,105,191,176
221,au,76,161,201
222,ut,247,332,332
223,tr,96,177,181
224,ru,45,115,126
225,uc,106,214,176
226,ch,10,90,118
227,he,121,217,201
228,ki,86,172,191
229,ik,101,196,187
230,ki,96,166,191
