,digraph,inter-key,uut,ddt,userNo
0,ki,83,151,182,112
1,ik,101,191,169,112
2,ki,71,147,161,112
3,i2,538,618,614,112
4,23,76,166,156,112
5,au,145,236,235,112
6,ut,156,237,247,112
7,tr,85,141,166,112
8,ru,86,171,142,112
9,uc,106,196,191,112
10,ch,36,116,126,112
11,he,100,201,180,112
12,ki,88,170,169,112
13,ik,114,195,196,112
14,ki,75,157,156,112
15,i2,462,544,544,112
16,23,75,156,157,112
17,au,114,234,234,112
18,ut,153,234,273,112
19,tr,84,165,165,112
20,ru,76,157,157,112
21,uc,114,195,195,112
22,ch,76,157,157,112
23,he,76,157,157,112
24,ki,114,195,208,112
25,ik,114,196,195,112
26,ki,152,234,234,112
27,i2,462,543,544,112
28,23,115,196,196,112
29,au,152,272,236,112
30,ut,269,312,389,112
31,tr,114,195,157,112
32,ru,76,157,157,112
33,uc,114,163,195,112
34,ch,76,157,125,112
35,he,76,157,157,112
36,ki,101,182,186,112
37,ik,110,200,191,112
38,ki,96,177,186,112
39,i2,357,443,438,112
40,23,247,347,333,112
41,au,80,166,186,112
42,ut,186,262,272,112
43,tr,80,161,156,112
44,ru,211,301,292,112
45,uc,121,207,211,112
46,ch,115,196,201,112
47,he,66,166,147,112
48,ki,90,160,175,112
49,ik,121,192,191,112
50,ki,106,176,177,112
51,i2,403,478,473,112
52,23,105,191,180,112
53,au,46,146,151,112
54,ut,172,242,272,112
55,tr,25,136,95,112
56,ru,136,216,247,112
57,uc,76,171,156,112
58,ch,121,172,216,112
59,he,105,201,156,112
60,ki,80,196,177,112
61,ik,90,171,206,112
62,ki,90,176,171,112
63,i2,452,533,538,112
64,23,76,176,157,112
65,au,151,256,261,112
66,ut,181,267,286,112
67,tr,126,231,212,112
68,ru,127,212,232,112
69,uc,76,181,161,112
70,ch,126,212,231,112
71,he,35,155,121,112
72,ki,91,166,182,112
73,ik,131,232,206,112
74,ki,70,156,171,112
75,i2,367,437,453,112
76,23,101,207,171,112
77,au,75,151,181,112
78,ut,216,291,292,112
79,tr,91,177,166,112
80,ru,45,125,131,112
81,uc,101,187,181,112
82,ch,35,116,121,112
83,he,126,223,207,112
84,ki,110,186,195,112
85,ik,131,217,207,112
86,ki,110,191,196,112
87,i2,368,473,449,112
88,23,110,211,215,112
89,au,100,186,206,112
90,ut,192,282,278,112
91,tr,91,181,181,112
92,ru,71,156,161,112
93,uc,76,171,161,112
94,ch,41,132,136,112
95,he,141,236,232,112
96,ki,111,186,212,112
97,ik,131,217,206,112
98,ki,116,190,202,112
99,i2,398,569,472,112
100,23,242,353,413,112
101,au,85,181,191,112
102,ut,140,246,236,112
103,tr,96,201,202,112
104,ru,56,136,161,112
105,uc,61,181,141,112
106,ch,11,101,131,112
107,he,121,232,211,112
108,ki,111,196,211,112
109,ik,116,202,201,112
110,ki,111,166,197,112
111,i2,427,493,482,112
112,23,105,191,171,112
113,au,81,177,196,112
114,ut,146,242,242,112
115,tr,91,176,187,112
116,ru,96,176,181,112
117,uc,61,156,141,112
118,ch,86,166,181,112
119,he,81,177,161,112
120,ki,121,191,201,112
121,ik,232,313,302,112
122,ki,115,196,196,112
123,i2,639,755,720,112
124,23,100,191,216,112
125,au,77,162,172,112
126,ut,217,307,302,112
127,tr,91,192,181,112
128,ru,96,176,197,112
129,uc,96,195,176,112
130,ch,67,147,166,112
131,he,106,192,186,112
132,ki,105,170,189,112
133,ik,136,227,201,112
134,ki,95,176,186,112
135,i2,332,408,413,112
136,23,95,186,171,112
137,au,91,166,197,112
138,ut,186,283,261,112
139,tr,73,159,170,112
140,ru,66,141,152,112
141,uc,126,206,201,112
142,ch,61,142,141,112
143,he,116,206,197,112
144,ki,106,191,197,112
145,ik,146,207,231,112
146,ki,106,207,167,112
147,i2,283,338,384,112
148,23,156,252,211,112
149,au,91,181,206,112
150,ut,192,288,282,112
151,tr,80,161,176,112
152,ru,890,991,971,112
153,uc,146,236,247,112
154,ch,56,151,146,112
155,he,71,161,166,112
156,ki,96,175,186,112
157,ik,107,182,186,112
158,ki,81,161,156,112
159,i2,433,529,513,112
160,23,91,181,187,112
161,au,172,257,277,112
162,ut,145,211,230,112
163,tr,599,685,665,112
164,ru,512,593,598,112
165,uc,45,136,126,112
166,ch,85,176,176,112
167,he,50,146,141,112
168,ki,111,184,191,112
169,ik,118,189,191,112
170,ki,100,166,171,112
171,i2,403,478,469,112
172,23,101,180,176,112
173,au,126,216,237,112
174,ut,191,261,281,112
175,tr,116,187,186,112
176,ru,262,342,333,112
177,uc,101,186,181,112
178,ch,51,136,136,112
179,he,112,202,197,112
180,ki,106,191,186,112
181,ik,126,202,211,112
182,ki,105,186,181,112
183,i2,332,424,413,112
184,23,106,206,198,112
185,au,116,202,201,112
186,ut,179,261,265,112
187,tr,85,191,167,112
188,ru,91,171,197,112
189,uc,96,187,176,112
190,ch,45,126,136,112
191,he,100,201,181,112
192,ki,105,180,196,112
193,ik,122,202,197,112
194,ki,116,186,196,112
195,i2,368,493,438,112
196,23,106,217,231,112
197,au,122,212,223,112
198,ut,429,519,519,112
199,tr,116,201,206,112
200,ru,81,166,166,112
201,uc,91,191,176,112
202,ch,46,136,146,112
203,he,96,212,186,112
204,ki,75,157,156,112
205,ik,114,195,196,112
206,ki,114,195,195,112
207,i2,501,583,582,112
208,23,114,195,196,112
209,au,153,234,236,112
210,ut,153,234,234,112
211,tr,114,196,195,112
212,ru,307,427,389,112
213,uc,75,157,195,112
214,ch,75,156,157,112
215,he,115,196,196,112
216,ki,94,165,183,112
217,ik,126,226,197,112
218,ki,70,151,170,112
219,i2,317,388,398,112
220,23,105,191,176,112
221,au,76,161,201,112
222,ut,247,332,332,112
223,tr,96,177,181,112
224,ru,45,115,126,112
225,uc,106,214,176,112
226,ch,10,90,118,112
227,he,121,217,201,112
228,ki,86,172,191,112
229,ik,101,196,187,112
230,ki,96,166,191,112
231,i2,378,463,448,112
232,23,91,176,176,112
233,au,76,171,191,112
234,ut,212,292,307,112
235,tr,76,181,156,112
236,ru,151,232,256,112
237,uc,55,141,136,112
238,ch,91,176,177,112
239,he,91,161,176,112
240,ki,111,181,196,112
241,ik,106,201,176,112
242,ki,86,172,181,112
243,i2,377,458,463,112
244,23,95,186,176,112
245,au,160,241,251,112
246,ut,191,282,272,112
247,tr,116,201,207,112
248,ru,71,151,156,112
249,uc,86,162,166,112
250,ch,69,160,145,112
251,he,106,201,197,112
252,ki,75,156,157,112
253,ik,282,440,363,112
254,ki,153,234,311,112
255,i2,502,544,583,112
256,23,115,196,157,112
257,au,75,194,157,112
258,ut,192,235,311,112
259,tr,114,195,157,112
260,ru,37,157,118,112
261,uc,82,163,202,112
262,ch,75,157,156,112
263,he,114,195,196,112
264,ki,101,181,197,112
265,ik,136,212,216,112
266,ki,96,191,172,112
267,i2,543,659,638,112
268,23,141,242,257,112
269,au,161,252,286,112
270,ut,171,266,262,112
